Date;Pression (0/50) (m);Température (-5/35) (°C);Salinité (2/42) (g/l);Oxygène (0/20) (mgl);PH (0/14) (pH);Fluorescence (0/50) (µgl);Tension batterie (V)
17/02/2022 14:33;0.88;13.89;38.27;10.68;8.25;0.51;10.73
17/02/2022 14:48;0.9;13.95;38.26;10.66;8.25;0.54;10.82
17/02/2022 15:03;0.95;14.01;38.26;10.64;8.25;0.72;10.84
17/02/2022 15:18;0.92;14.08;38.24;10.63;8.25;0.54;10.83
17/02/2022 15:33;0.97;14.05;38.25;10.64;8.25;0.58;10.85
17/02/2022 15:48;0.98;14.02;38.24;10.65;8.26;0.59;10.86
17/02/2022 16:03;0.94;14.05;38.24;10.65;8.25;0.58;10.86
17/02/2022 16:18;0.93;13.97;38.25;10.68;8.26;0.61;10.83
17/02/2022 16:33;0.91;13.91;38.25;10.7;8.26;0.82;10.85
17/02/2022 16:48;0.94;13.9;38.26;10.72;8.26;0.96;10.86
17/02/2022 17:03;0.86;13.87;38.26;10.74;8.26;1.1;10.86
17/02/2022 17:18;0.96;13.85;38.26;10.77;8.26;1.19;10.83
17/02/2022 17:33;0.91;13.86;38.26;10.78;8.26;1.17;10.85
17/02/2022 17:48;0.97;13.84;38.26;10.8;8.26;1.5;10.86
17/02/2022 18:03;0.88;13.82;38.26;10.82;8.26;1.19;10.86
17/02/2022 18:18;0.94;13.77;38.26;10.84;8.26;1.39;10.84
17/02/2022 18:33;0.96;13.74;38.26;10.87;8.27;1.26;10.85
17/02/2022 18:48;0.99;13.69;38.24;10.89;8.26;1.31;10.86
17/02/2022 19:03;0.94;13.7;38.24;10.89;8.26;1.31;10.86
17/02/2022 19:18;0.98;13.69;38.24;10.89;8.26;1.55;10.83
17/02/2022 19:33;0.97;13.69;38.23;10.9;8.27;1.46;10.85
17/02/2022 19:48;0.92;13.62;38.21;10.96;8.28;1.25;10.86
17/02/2022 20:03;0.93;13.59;38.24;10.97;8.27;1.65;10.86
17/02/2022 20:18;0.94;13.6;38.26;10.96;8.27;1.66;10.83
17/02/2022 20:33;0.94;13.6;38.26;10.95;8.27;1.6;10.85
17/02/2022 20:48;0.98;13.58;38.26;10.93;8.26;1.66;10.86
17/02/2022 21:03;0.98;13.58;38.27;10.91;8.27;1.68;10.86
17/02/2022 21:18;0.99;13.54;38.27;10.91;8.26;1.88;10.83
17/02/2022 21:33;0.96;13.54;38.26;10.9;8.27;1.6;10.85
17/02/2022 21:48;0.92;13.56;38.27;10.88;8.27;1.78;10.86
17/02/2022 22:03;0.94;13.55;38.27;10.86;8.27;1.62;10.86
17/02/2022 22:18;0.9;13.56;38.27;10.82;8.27;1.95;10.83
17/02/2022 22:33;0.92;13.57;38.26;10.8;8.27;1.75;10.85
17/02/2022 22:48;0.98;13.55;38.27;10.79;8.27;1.69;10.86
17/02/2022 23:03;0.95;13.55;38.27;10.78;8.27;1.9;10.86
17/02/2022 23:18;0.9;13.55;38.27;10.79;8.27;1.71;10.83
17/02/2022 23:33;0.97;13.56;38.27;10.79;8.27;1.63;10.85
17/02/2022 23:48;0.92;13.53;38.27;10.8;8.27;1.53;10.86
18/02/2022 00:03;0.93;13.59;38.27;10.79;8.27;1.75;10.86
18/02/2022 00:18;1;13.59;38.27;10.79;8.27;1.61;10.83
18/02/2022 00:33;0.92;13.6;38.26;10.79;8.27;1.84;10.85
18/02/2022 00:48;0.88;13.6;38.26;10.79;8.27;1.6;10.86
18/02/2022 01:03;1.04;13.58;38.27;10.8;8.27;1.59;10.86
18/02/2022 01:18;0.96;13.6;38.27;10.79;8.27;1.57;10.83
18/02/2022 01:33;0.93;13.59;38.26;10.8;8.27;1.67;10.85
18/02/2022 01:48;0.94;13.62;38.27;10.78;8.27;1.63;10.86
18/02/2022 02:03;1.01;13.61;38.27;10.78;8.27;1.56;10.86
18/02/2022 02:18;0.94;13.59;38.27;10.79;8.27;1.68;10.83
18/02/2022 02:33;0.91;13.6;38.26;10.78;8.27;1.62;10.85
