Date;Pression (0/50) (m);Température (-5/35) (°C);Salinité (2/42) (g/l);Oxygène (0/20) (mgl);PH (0/14) (pH);Fluorescence (0/50) (µgl);Tension batterie (V)
13/07/2022 00:05;0,9;26,8;27,7;7,92;8,25;0,21;10,95
13/07/2022 00:20;0,89;26,75;30,49;7,93;8,25;0,24;10,95
13/07/2022 00:35;0,89;26,73;27,97;7,93;8,25;0,23;10,94
13/07/2022 00:50;0,89;26,71;27,24;7,94;8,25;0,2;10,95
13/07/2022 01:05;0,9;26,7;27,63;7,94;8,25;0,27;10,95
13/07/2022 01:20;0,88;26,67;27,66;7,95;8,25;0,2;10,94
13/07/2022 01:35;0,88;26,65;28,13;7,96;8,26;0,19;10,94
13/07/2022 01:50;0,88;26,63;28,22;7,96;8,26;0,25;10,95
13/07/2022 02:05;0,89;26,61;27,85;7,96;8,26;0,24;10,95
13/07/2022 02:20;0,9;26,59;29,63;7,97;8,26;0,23;10,94
13/07/2022 02:35;0,89;26,64;27,84;7,97;8,26;0,22;10,93
13/07/2022 02:50;0,89;26,67;27,87;7,97;8,26;0,21;10,95
13/07/2022 03:05;0,89;26,68;27,65;7,97;8,26;0,22;10,95
13/07/2022 03:20;0,88;26,71;27,53;7,96;8,25;0,28;10,94
13/07/2022 03:35;0,89;26,74;30,03;7,95;8,25;0,19;10,94
13/07/2022 03:50;0,86;26,8;28,04;7,93;8,25;0,2;10,95
13/07/2022 04:05;0,89;26,85;27,71;7,91;8,25;0,2;10,95
13/07/2022 04:20;0,88;26,87;27,64;7,9;8,25;0,17;10,94
13/07/2022 04:35;0,89;26,86;29,53;7,9;8,25;0,2;10,93
13/07/2022 04:50;0,89;26,87;27,39;7,89;8,25;0,17;10,95
13/07/2022 05:05;0,89;26,9;27,27;7,88;8,25;0,15;10,95
13/07/2022 05:20;0,88;26,9;27,92;7,87;8,25;0,14;10,95
13/07/2022 05:35;0,9;26,86;27,76;7,87;8,25;0,15;10,94
13/07/2022 05:50;0,87;26,84;27,65;7,87;8,25;0,18;10,95
13/07/2022 06:05;0,9;26,83;26,71;7,86;8,25;0,19;10,95
13/07/2022 06:20;0,87;26,79;26,86;7,86;8,25;0,16;10,95
13/07/2022 06:35;0,89;26,73;27,67;7,87;8,25;0,17;10,94
13/07/2022 06:50;0,91;26,68;26,56;7,88;8,25;0,15;10,95
13/07/2022 07:05;0,89;26,61;27,04;7,88;8,25;0,16;10,95
13/07/2022 07:20;0,89;26,57;27,13;7,87;8,25;0,35;10,94
13/07/2022 07:35;0,9;26,55;26,93;7,86;8,25;0,13;10,94
13/07/2022 07:50;0,91;26,53;26,94;7,85;8,24;0,13;10,95
13/07/2022 08:05;0,9;26,52;26,7;7,84;8,24;0,13;10,95
13/07/2022 08:20;0,89;26,54;27,22;7,82;8,24;0,08;10,94
13/07/2022 08:35;0,89;26,61;27,67;7,8;8,25;0,08;10,93
13/07/2022 08:50;0,89;26,67;26,77;7,8;8,25;0,09;10,95
13/07/2022 09:05;0,9;26,71;26,55;7,78;8,25;0,07;10,95
13/07/2022 09:20;0,89;26,72;27,3;7,78;8,25;0,08;10,94
13/07/2022 09:35;0,9;26,77;26,88;7,78;8,25;0,12;10,94
13/07/2022 09:50;0,89;26,79;26,82;7,8;8,25;0,07;10,95
13/07/2022 10:05;0,91;26,83;27,14;7,81;8,25;0,11;10,95
13/07/2022 10:20;0,9;26,83;26,52;7,83;8,24;0,11;10,94
13/07/2022 10:35;0,9;26,82;29,29;7,85;8,24;0,07;10,94
13/07/2022 10:50;0,89;26,81;27,25;7,86;8,24;0,07;10,95
13/07/2022 11:05;0,9;26,85;27,44;7,86;8,24;0,07;10,95
13/07/2022 11:20;0,9;26,86;27,07;7,87;8,24;0,06;10,95
13/07/2022 11:35;0,9;26,86;26,68;7,87;8,24;0,04;10,93
13/07/2022 11:50;0,89;26,87;26,78;7,88;8,24;0,06;10,95
