Date;Pression (0/50) (m);Température (-5/35) (°C);Salinité (2/42) (g/l);Oxygène (0/20) (mgl);PH (0/14) (pH);Fluorescence (0/50) (µgl);Tension batterie (V)
05/01/2022 19:12;0.84;14.41;37.88;10.09;8.27;0.5;10.76
05/01/2022 19:27;0.9;14.4;37.86;10.09;8.28;0.57;10.85
05/01/2022 19:42;0.9;14.36;37.84;10.1;8.27;0.53;10.88
05/01/2022 19:57;0.81;14.37;37.86;10.1;8.28;0.59;10.89
05/01/2022 20:12;0.85;14.36;37.85;10.1;8.27;0.58;10.84
05/01/2022 20:27;0.81;14.37;37.85;10.1;8.28;0.64;10.88
05/01/2022 20:42;0.91;14.34;37.84;10.11;8.28;0.54;10.89
05/01/2022 20:57;0.92;14.33;37.84;10.12;8.28;0.57;10.9
05/01/2022 21:12;0.85;14.35;37.85;10.12;8.27;0.59;10.84
05/01/2022 21:27;0.88;14.33;37.84;10.13;8.28;0.63;10.88
05/01/2022 21:42;0.96;14.32;37.84;10.14;8.28;0.66;10.89
05/01/2022 21:57;0.81;14.35;37.85;10.14;8.27;0.63;10.9
05/01/2022 22:12;0.88;14.31;37.85;10.15;8.27;0.52;10.84
05/01/2022 22:27;0.93;14.34;37.85;10.14;8.27;0.42;10.88
05/01/2022 22:42;0.81;14.38;37.87;10.14;8.27;0.47;10.89
05/01/2022 22:57;0.93;14.39;37.87;10.13;8.27;0.61;10.9
05/01/2022 23:12;0.9;14.4;37.87;10.13;8.27;0.55;10.85
05/01/2022 23:27;0.78;14.42;37.88;10.12;8.27;0.62;10.88
05/01/2022 23:42;0.96;14.44;37.89;10.1;8.27;0.65;10.89
05/01/2022 23:57;0.84;14.43;37.89;10.11;8.27;0.71;10.9
06/01/2022 00:12;0.88;14.43;37.89;10.11;8.27;0.58;10.85
06/01/2022 00:27;0.89;14.43;37.89;10.11;8.27;0.6;10.88
06/01/2022 00:42;0.88;14.43;37.89;10.11;8.27;0.6;10.89
06/01/2022 00:57;0.95;14.44;37.89;10.1;8.27;0.64;10.9
06/01/2022 01:12;0.86;14.44;37.89;10.1;8.27;0.65;10.85
06/01/2022 01:27;0.88;14.44;37.89;10.09;8.27;0.57;10.88
06/01/2022 01:42;0.82;14.44;37.9;10.08;8.27;0.67;10.89
06/01/2022 01:57;0.87;14.46;37.9;10.06;8.27;0.53;10.9
06/01/2022 02:12;0.87;14.46;37.91;10.06;8.27;0.78;10.84
06/01/2022 02:27;0.9;14.46;37.9;10.06;8.27;0.63;10.88
06/01/2022 02:42;0.91;14.47;37.9;10.05;8.27;0.65;10.89
06/01/2022 02:57;0.88;14.46;37.9;10.05;8.27;0.71;10.9
06/01/2022 03:12;0.92;14.46;37.9;10.04;8.27;0.7;10.85
06/01/2022 03:27;0.88;14.47;37.91;10.04;8.27;0.63;10.88
06/01/2022 03:42;0.96;14.45;37.91;10.04;8.27;0.56;10.89
06/01/2022 03:57;0.96;14.45;37.91;10.04;8.27;0.83;10.9
06/01/2022 04:12;0.89;14.46;37.92;10.04;8.27;0.78;10.85
06/01/2022 04:27;0.91;14.46;37.9;10.04;8.27;0.7;10.88
06/01/2022 04:42;0.89;14.47;37.91;10.04;8.27;0.63;10.89
06/01/2022 04:57;0.88;14.42;37.9;10.05;8.27;0.55;10.9
06/01/2022 05:12;0.87;14.44;37.91;10.05;8.27;0.67;10.84
06/01/2022 05:27;0.9;14.45;37.91;10.04;8.27;0.69;10.88
06/01/2022 05:42;0.92;14.43;37.91;10.05;8.27;0.65;10.89
06/01/2022 05:57;0.93;14.43;37.91;10.05;8.27;0.62;10.9
06/01/2022 06:12;0.94;14.44;37.91;10.04;8.27;0.59;10.84
06/01/2022 06:27;0.93;14.43;37.89;10.04;8.27;0.67;10.88
06/01/2022 06:42;0.96;14.4;37.89;10.05;8.27;0.62;10.89
06/01/2022 06:57;0.9;14.42;37.9;10.04;8.27;0.58;10.9
06/01/2022 07:12;1.02;14.42;37.9;10.04;8.27;0.65;10.84
06/01/2022 07:27;0.98;14.4;37.9;10.05;8.27;0.76;10.88
06/01/2022 07:42;0.93;14.41;37.9;10.05;8.27;0.82;10.89
06/01/2022 07:57;0.93;14.43;37.91;10.05;8.27;0.75;10.9
06/01/2022 08:12;0.9;14.4;37.9;10.06;8.26;0.61;10.83
06/01/2022 08:27;0.97;14.4;37.9;10.07;8.27;0.59;10.88
06/01/2022 08:42;0.94;14.45;37.91;10.06;8.27;0.71;10.89
06/01/2022 08:57;0.93;14.42;37.91;10.07;8.27;0.73;10.9
06/01/2022 09:12;0.84;14.42;37.91;10.07;8.27;0.62;10.84
06/01/2022 09:27;0.92;14.44;37.91;10.06;8.27;0.75;10.88
06/01/2022 09:42;0.95;14.43;37.93;10.06;8.27;0.8;10.89
06/01/2022 09:57;0.97;14.45;37.93;10.06;8.27;0.61;10.9
06/01/2022 10:12;0.94;14.45;37.92;10.06;8.27;0.67;10.84
06/01/2022 10:27;0.94;14.43;37.92;10.06;8.27;0.64;10.88
06/01/2022 10:42;0.94;14.46;37.92;10.04;8.28;0.74;10.89
06/01/2022 10:57;0.94;14.44;37.91;10.05;8.28;0.66;10.9
06/01/2022 11:12;0.94;14.43;37.91;10.05;8.27;0.68;10.84
