SAMBAT_40001_20220120_100456.csv
"SAMBAT Sea Ti  C/T/D/Odo/Fluo/pH GPS"
"sn :";40001
"Cadence d'enregistrement :";"900 s"

Date;"Pression (0/50) (m)";"Température (-5/35) (°C)";"Salinité (2/42) (g/l)";"Oxygène (0/20) (mgl)";"PH (0/14) (pH)";"Fluorescence (0/50) (µgl)";"Tension batterie (V)"
"03/02/2005 19:12:30";0,84;14,41;37,88;10,09;8,27;0,50;10,76
"03/02/2005 19:27:30";0,90;14,40;37,86;10,09;8,28;0,57;10,85
"03/02/2005 19:42:30";0,90;14,36;37,84;10,10;8,27;0,53;10,88
"03/02/2005 19:57:30";0,81;14,37;37,86;10,10;8,28;0,59;10,89
"03/02/2005 20:12:30";0,85;14,36;37,85;10,10;8,27;0,58;10,84
"03/02/2005 20:27:30";0,81;14,37;37,85;10,10;8,28;0,64;10,88
"03/02/2005 20:42:30";0,91;14,34;37,84;10,11;8,28;0,54;10,89
"03/02/2005 20:57:30";0,92;14,33;37,84;10,12;8,28;0,57;10,90
"03/02/2005 21:12:30";0,85;14,35;37,85;10,12;8,27;0,59;10,84
"03/02/2005 21:27:30";0,88;14,33;37,84;10,13;8,28;0,63;10,88
"03/02/2005 21:42:30";0,96;14,32;37,84;10,14;8,28;0,66;10,89
"03/02/2005 21:57:30";0,81;14,35;37,85;10,14;8,27;0,63;10,90
"03/02/2005 22:12:30";0,88;14,31;37,85;10,15;8,27;0,52;10,84
"03/02/2005 22:27:30";0,93;14,34;37,85;10,14;8,27;0,42;10,88
"03/02/2005 22:42:30";0,81;14,38;37,87;10,14;8,27;0,47;10,89
"03/02/2005 22:57:30";0,93;14,39;37,87;10,13;8,27;0,61;10,90
"03/02/2005 23:12:30";0,90;14,40;37,87;10,13;8,27;0,55;10,85
"03/02/2005 23:27:30";0,78;14,42;37,88;10,12;8,27;0,62;10,88
"03/02/2005 23:42:30";0,96;14,44;37,89;10,10;8,27;0,65;10,89
"03/02/2005 23:57:30";0,84;14,43;37,89;10,11;8,27;0,71;10,90
"04/02/2005 00:12:30";0,88;14,43;37,89;10,11;8,27;0,58;10,85
"04/02/2005 00:27:30";0,89;14,43;37,89;10,11;8,27;0,60;10,88
"04/02/2005 00:42:30";0,88;14,43;37,89;10,11;8,27;0,60;10,89
"04/02/2005 00:57:30";0,95;14,44;37,89;10,10;8,27;0,64;10,90
"04/02/2005 01:12:30";0,86;14,44;37,89;10,10;8,27;0,65;10,85
"04/02/2005 01:27:30";0,88;14,44;37,89;10,09;8,27;0,57;10,88
"04/02/2005 01:42:30";0,82;14,44;37,90;10,08;8,27;0,67;10,89
"04/02/2005 01:57:30";0,87;14,46;37,90;10,06;8,27;0,53;10,90
"04/02/2005 02:12:30";0,87;14,46;37,91;10,06;8,27;0,78;10,84
"04/02/2005 02:27:30";0,90;14,46;37,90;10,06;8,27;0,63;10,88
"04/02/2005 02:42:30";0,91;14,47;37,90;10,05;8,27;0,65;10,89
"04/02/2005 02:57:30";0,88;14,46;37,90;10,05;8,27;0,71;10,90
"04/02/2005 03:12:30";0,92;14,46;37,90;10,04;8,27;0,70;10,85
"04/02/2005 03:27:30";0,88;14,47;37,91;10,04;8,27;0,63;10,88
"04/02/2005 03:42:30";0,96;14,45;37,91;10,04;8,27;0,56;10,89
"04/02/2005 03:57:30";0,96;14,45;37,91;10,04;8,27;0,83;10,90
"04/02/2005 04:12:30";0,89;14,46;37,92;10,04;8,27;0,78;10,85
