SAMBAT_40001_20210820_135951.csv
"SAMBAT Sea Ti  C/T/D/Odo/Fluo/pH GPS"
"sn :";40001
"Cadence d'enregistrement :";"900 s"

Date;"Pression (0/50) (m)";"Température (-5/35) (°C)";"Salinité (2/42) (g/l)";"Oxygène (0/20) (mgl)";"PH (0/14) (pH)";"Fluorescence (0/50) (µgl)";"Tension batterie (V)"
"12/08/2021 10:01:33";0,01;27,27;0,01;7,56;8,68;0,10;10,83
"12/08/2021 10:16:33";0,01;28,35;0,01;7,42;8,59;0,00;10,84
"12/08/2021 10:31:33";0,01;29,15;0,01;7,14;8,63;0,00;10,96
"12/08/2021 10:46:33";0,80;25,81;36,34;7,62;12,14;0,33;10,97
"12/08/2021 11:01:33";0,83;25,66;37,00;7,64;12,17;0,13;10,97
"12/08/2021 11:16:33";0,02;25,88;0,03;7,59;8,72;0,00;10,76
"12/08/2021 11:31:33";0,03;25,89;0,03;7,55;8,18;0,13;10,78
"12/08/2021 11:26:24";0,02;25,62;0,02;7,57;8,62;0,00;10,84
"12/08/2021 11:41:24";0,84;25,69;37,31;7,60;8,15;0,12;10,94
"12/08/2021 11:56:24";0,87;25,69;37,35;7,58;8,15;0,13;10,96
"12/08/2021 12:11:24";0,86;25,71;37,38;7,62;8,15;0,09;10,96
"12/08/2021 12:26:24";0,87;25,85;37,51;7,60;8,15;0,09;10,96
"12/08/2021 12:41:24";0,86;26,32;37,41;7,52;8,14;0,15;10,77
"12/08/2021 12:56:24";0,80;26,28;37,52;7,60;8,14;0,13;10,95
"12/08/2021 13:11:24";0,82;26,39;37,55;7,61;8,14;0,17;10,96
"12/08/2021 13:26:24";0,83;26,31;37,54;7,64;8,15;0,15;10,96
"12/08/2021 13:41:24";0,86;26,17;37,55;7,68;8,15;0,10;10,96
"12/08/2021 13:56:24";0,83;26,12;37,59;7,70;8,15;0,09;10,96
"12/08/2021 14:11:24";0,84;26,36;37,67;7,64;8,15;0,19;10,96
"12/08/2021 14:26:24";0,81;26,92;37,55;7,60;8,15;0,14;10,96
"12/08/2021 14:41:24";0,82;26,74;37,62;7,63;8,15;0,11;10,96
"12/08/2021 14:56:24";0,83;26,67;37,63;7,65;8,15;0,06;10,96
"12/08/2021 15:11:24";0,82;26,47;37,51;7,72;8,15;0,16;10,96
"12/08/2021 15:26:24";0,81;26,68;37,67;7,65;8,14;0,16;10,96
"12/08/2021 15:41:24";0,82;26,44;37,63;7,72;8,14;0,17;10,96
"12/08/2021 15:56:24";0,84;26,41;37,64;7,72;8,14;0,13;10,96
"12/08/2021 16:11:24";0,86;26,52;37,66;7,71;8,14;0,10;10,96
"12/08/2021 16:26:24";0,84;26,54;37,71;7,71;8,13;0,11;10,96
"12/08/2021 16:41:24";0,77;26,59;37,70;7,70;8,13;0,10;10,96
"12/08/2021 16:56:24";0,85;26,62;37,65;7,71;8,13;0,13;10,96
"12/08/2021 17:11:24";0,85;26,58;37,68;7,72;8,12;0,17;10,96
"12/08/2021 17:26:24";0,79;26,58;37,72;7,73;8,12;0,19;10,96
"12/08/2021 17:41:24";0,79;26,53;37,70;7,75;8,11;0,18;10,96
"12/08/2021 17:56:24";0,81;26,61;37,72;7,75;8,11;0,14;10,96
"12/08/2021 18:11:24";0,86;26,61;37,70;7,76;8,11;0,20;10,96
"12/08/2021 18:26:24";0,83;26,57;37,70;7,77;8,10;0,18;10,96
"12/08/2021 18:41:24";0,82;26,65;37,71;7,77;8,10;0,17;10,96
"12/08/2021 18:56:24";0,81;26,66;37,72;7,76;8,10;0,23;10,96
"12/08/2021 19:11:24";0,80;26,55;37,70;7,80;8,10;0,24;10,96
"12/08/2021 19:26:24";0,80;26,49;37,73;7,80;8,09;0,21;10,96
"12/08/2021 19:41:24";0,82;26,50;37,73;7,81;8,09;0,24;10,96
"12/08/2021 19:56:24";0,83;26,43;37,72;7,82;8,09;0,23;10,96
"12/08/2021 20:11:24";0,84;26,33;37,72;7,84;8,09;0,19;10,96
"12/08/2021 20:26:24";0,82;26,50;37,75;7,80;8,09;0,38;10,96
"12/08/2021 20:41:24";0,81;26,49;37,76;7,80;8,09;0,32;10,96
"12/08/2021 20:56:24";0,78;26,41;37,76;7,81;8,09;0,39;10,96
"12/08/2021 21:11:24";0,83;26,42;37,76;7,80;8,08;0,24;10,96
"12/08/2021 21:26:24";0,81;26,42;37,78;7,80;8,08;0,27;10,96
"12/08/2021 21:41:24";0,84;26,44;37,78;7,79;8,08;0,35;10,96
"12/08/2021 21:56:24";0,83;26,43;37,79;7,79;8,08;0,32;10,96
"12/08/2021 22:11:24";0,81;26,42;37,79;7,78;8,08;0,31;10,96
"12/08/2021 22:26:24";0,83;26,47;37,80;7,77;8,08;0,34;10,96
"12/08/2021 22:41:24";0,83;26,48;37,81;7,76;8,08;0,31;10,96
"12/08/2021 22:56:24";0,85;26,48;37,82;7,76;8,08;0,41;10,96
"12/08/2021 23:11:24";0,86;26,53;37,81;7,74;8,08;0,46;10,96
"12/08/2021 23:26:24";0,83;26,47;37,82;7,75;8,08;0,30;10,96
"12/08/2021 23:41:24";0,84;26,39;37,82;7,76;8,08;0,28;10,96
"12/08/2021 23:56:24";0,84;26,29;37,81;7,77;8,09;0,33;10,96
"13/08/2021 00:11:24";0,86;26,19;37,80;7,79;8,09;0,26;10,96
"13/08/2021 00:26:24";0,84;26,15;37,80;7,79;8,09;0,23;10,96
"13/08/2021 00:41:24";0,84;26,17;37,80;7,78;8,10;0,25;10,96
"13/08/2021 00:56:24";0,83;26,10;37,80;7,79;8,10;0,26;10,96
"13/08/2021 01:11:24";0,84;26,05;37,81;7,80;8,10;0,19;10,96
"13/08/2021 01:26:24";0,83;25,85;37,83;7,81;8,10;0,21;10,96
"13/08/2021 01:41:24";0,83;25,98;37,81;7,80;8,10;0,23;10,96
"13/08/2021 01:56:24";0,86;25,94;37,81;7,80;8,10;0,24;10,96
"13/08/2021 02:11:24";0,84;25,91;37,81;7,80;8,11;0,22;10,96
"13/08/2021 02:26:24";0,82;25,89;37,81;7,80;8,11;0,22;10,96
"13/08/2021 02:41:24";0,84;25,99;37,82;7,78;8,11;0,31;10,96
