SAMBAT_40001_20230818_150652.csv;;;;;;;
SAMBAT Sea Ti  C/T/D/Odo/Fluo/pH GPS;;;;;;;
sn :;40001;;;;;;
Cadence d'enregistrement :;900 s;;;;;;
;;;;;;;
Date;Pression (0/50) (dba);Température (-5/35) (°C);Salinité (2/42) (g/l);Oxygène (0/20) (mgl);PH (0/14) (pH);Fluorescence (0/500) (ppb);Tension batterie (V)
28-07-23 15:02;0.8;26.82;39.36;7.81;8.26;1.34;10.85
28-07-23 15:17;0.77;26.77;39.36;7.82;8.26;1.41;10.95
28-07-23 15:32;0.8;26.81;39.36;7.82;8.27;1.34;10.96
28-07-23 15:47;0.8;26.91;39.36;7.81;8.27;1.52;10.94
28-07-23 16:02;0.73;26.92;39.31;7.81;8.27;1.21;10.96
28-07-23 16:17;0.74;26.92;39.36;7.81;8.26;1.51;10.96
28-07-23 16:32;0.77;26.9;39.35;7.81;8.26;1.64;10.96
28-07-23 16:47;0.76;26.92;39.37;7.81;8.26;1.76;10.94
28-07-23 17:02;0.82;26.93;39.36;7.81;8.26;1.67;10.96
28-07-23 17:17;0.79;26.91;39.35;7.82;8.26;1.67;10.96
28-07-23 17:32;0.79;26.89;39.37;7.83;8.26;1.87;10.96
28-07-23 17:47;0.8;26.9;39.35;7.83;8.26;1.31;10.93
28-07-23 18:02;0.79;26.83;39.35;7.84;8.26;2.12;10.96
28-07-23 18:17;0.78;26.79;39.34;7.85;8.25;1.59;10.96
28-07-23 18:32;0.74;26.75;39.37;7.86;8.25;2.01;10.96
28-07-23 18:47;0.81;26.73;39.34;7.87;8.26;1.91;10.94
28-07-23 19:02;0.75;26.69;39.35;7.87;8.26;2.44;10.96
28-07-23 19:17;0.78;26.67;39.34;7.88;8.26;2.02;10.96
28-07-23 19:32;0.79;26.64;39.34;7.89;8.26;2;10.96
28-07-23 19:47;0.79;26.6;39.34;7.9;8.26;2.01;10.94
28-07-23 20:02;0.79;26.57;27.55;7.91;8.26;2.19;10.96
28-07-23 20:17;0.82;26.52;39.33;7.92;8.25;1.99;10.96
28-07-23 20:32;0.74;26.5;39.33;7.93;8.25;2.22;10.96
28-07-23 20:47;0.77;26.47;39.33;7.93;8.25;2.32;10.93
28-07-23 21:02;0.78;26.44;39.33;7.94;8.25;2.24;10.96
28-07-23 21:17;0.75;26.43;39.31;7.94;8.25;2.59;10.96
28-07-23 21:32;0.81;26.4;39.32;7.94;8.25;2.1;10.96
28-07-23 21:47;0.78;26.4;39.32;7.94;8.25;2.28;10.94
28-07-23 22:02;0.78;26.38;39.32;7.94;8.25;2.71;10.96
28-07-23 22:17;0.81;26.37;39.32;7.94;8.25;2.2;10.96
28-07-23 22:32;0.8;26.35;39.32;7.95;8.25;2.34;10.96
28-07-23 22:47;0.76;26.34;39.28;7.95;8.25;1.94;10.93
28-07-23 23:02;0.79;26.33;39.32;7.95;8.25;2.44;10.96
28-07-23 23:17;0.79;26.31;39.32;7.95;8.25;2.06;10.96
28-07-23 23:32;0.8;26.32;39.32;7.95;8.25;2.24;10.96
28-07-23 23:47;0.79;26.31;39.33;7.95;8.25;1.97;10.93
29-07-23 00:02;0.76;26.3;39.32;7.95;8.25;2.16;10.96
29-07-23 00:17;0.78;26.31;39.33;7.95;8.25;2.13;10.96
29-07-23 00:32;0.8;26.3;39.33;7.94;8.26;2.2;10.96
29-07-23 00:47;0.81;26.31;39.33;7.94;8.26;2.22;10.93
29-07-23 01:02;0.8;26.32;39.34;7.94;8.26;1.91;10.96
29-07-23 01:17;0.79;26.34;39.33;7.93;8.26;2.22;10.96
29-07-23 01:32;0.78;26.35;39.33;7.93;8.26;2.57;10.96
29-07-23 01:47;0.8;26.34;39.33;7.92;8.26;1.81;10.93
29-07-23 02:02;0.78;26.34;39.34;7.92;8.26;1.62;10.95
29-07-23 02:17;0.8;26.35;39.33;7.92;8.26;1.9;10.96
29-07-23 02:32;0.77;26.37;39.34;7.91;8.26;2.18;10.96
29-07-23 02:47;0.78;26.36;39.34;7.91;8.26;1.84;10.93
29-07-23 03:02;0.76;26.37;39.34;7.91;8.26;2.06;10.96
29-07-23 03:17;0.78;26.36;39.35;7.91;8.26;1.97;10.96
29-07-23 03:32;0.79;26.34;39.35;7.91;8.26;1.91;10.96
29-07-23 03:47;0.8;26.35;39.34;7.9;8.26;1.64;10.93
29-07-23 04:02;0.79;26.34;39.35;7.9;8.26;1.72;10.96
29-07-23 04:17;0.74;26.33;39.35;7.9;8.26;2.02;10.96
29-07-23 04:32;0.8;26.32;34.75;7.9;8.26;1.69;10.96
29-07-23 04:47;0.77;26.31;39.35;7.9;8.26;1.91;10.93
29-07-23 05:02;0.75;26.29;39.36;7.9;8.25;1.88;10.95
29-07-23 05:17;0.75;26.28;39.35;7.9;8.26;2.14;10.96
29-07-23 05:32;0.74;26.24;39.35;7.9;8.25;1.91;10.96
29-07-23 05:47;0.8;26.25;39.35;7.9;8.25;1.75;10.94
29-07-23 06:02;0.78;26.22;39.34;7.91;8.25;2.05;10.95
29-07-23 06:17;0.77;26.21;39.36;7.9;8.25;1.62;10.96
29-07-23 06:32;0.78;26.2;39.34;7.9;8.25;1.87;10.96
29-07-23 06:47;0.79;26.19;39.34;7.9;8.25;1.69;10.93
29-07-23 07:02;0.79;26.19;39.35;7.9;8.25;1.41;10.95
29-07-23 07:17;0.8;26.2;39.33;7.9;8.25;1.38;10.96
