SAMBAT_40001_20230818_150652.csv
"SAMBAT Sea Ti  C/T/D/Odo/Fluo/pH GPS"
"sn :";40001
"Cadence d'enregistrement :";"900 s"

Date;"Pression (0/50) (dba)";"Température (-5/35) (°C)";"Salinité (2/42) (g/l)";"Oxygène (0/20) (mgl)";"PH (0/14) (pH)";"Fluorescence (0/500) (ppb)";"Tension batterie (V)"
"28/07/2023 15:02:03";0,80;26,82;39,36;7,81;8,26;1,34;10,85
"28/07/2023 15:17:03";0,77;26,77;39,36;7,82;8,26;1,41;10,95
"28/07/2023 15:32:03";0,80;26,81;39,36;7,82;8,27;1,34;10,96
"28/07/2023 15:47:03";0,80;26,91;39,36;7,81;8,27;1,52;10,94
"28/07/2023 16:02:03";0,73;26,92;39,31;7,81;8,27;1,21;10,96
"28/07/2023 16:17:03";0,74;26,92;39,36;7,81;8,26;1,51;10,96
"28/07/2023 16:32:03";0,77;26,90;39,35;7,81;8,26;1,64;10,96
"28/07/2023 16:47:03";0,76;26,92;39,37;7,81;8,26;1,76;10,94
"28/07/2023 17:02:03";0,82;26,93;39,36;7,81;8,26;1,67;10,96
"28/07/2023 17:17:03";0,79;26,91;39,35;7,82;8,26;1,67;10,96
"28/07/2023 17:32:03";0,79;26,89;39,37;7,83;8,26;1,87;10,96
"28/07/2023 17:47:03";0,80;26,90;39,35;7,83;8,26;1,31;10,93
"28/07/2023 18:02:03";0,79;26,83;39,35;7,84;8,26;2,12;10,96
"28/07/2023 18:17:03";0,78;26,79;39,34;7,85;8,25;1,59;10,96
"28/07/2023 18:32:03";0,74;26,75;39,37;7,86;8,25;2,01;10,96
"28/07/2023 18:47:03";0,81;26,73;39,34;7,87;8,26;1,91;10,94
"28/07/2023 19:02:03";0,75;26,69;39,35;7,87;8,26;2,44;10,96
"28/07/2023 19:17:03";0,78;26,67;39,34;7,88;8,26;2,02;10,96
"28/07/2023 19:32:03";0,79;26,64;39,34;7,89;8,26;2,00;10,96
"28/07/2023 19:47:03";0,79;26,60;39,34;7,90;8,26;2,01;10,94
"28/07/2023 20:02:03";0,79;26,57;27,55;7,91;8,26;2,19;10,96
"28/07/2023 20:17:03";0,82;26,52;39,33;7,92;8,25;1,99;10,96
"28/07/2023 20:32:03";0,74;26,50;39,33;7,93;8,25;2,22;10,96
"28/07/2023 20:47:03";0,77;26,47;39,33;7,93;8,25;2,32;10,93
"28/07/2023 21:02:03";0,78;26,44;39,33;7,94;8,25;2,24;10,96
"28/07/2023 21:17:03";0,75;26,43;39,31;7,94;8,25;2,59;10,96
"28/07/2023 21:32:03";0,81;26,40;39,32;7,94;8,25;2,10;10,96
"28/07/2023 21:47:03";0,78;26,40;39,32;7,94;8,25;2,28;10,94
"28/07/2023 22:02:03";0,78;26,38;39,32;7,94;8,25;2,71;10,96
"28/07/2023 22:17:03";0,81;26,37;39,32;7,94;8,25;2,20;10,96
"28/07/2023 22:32:03";0,80;26,35;39,32;7,95;8,25;2,34;10,96
"28/07/2023 22:47:03";0,76;26,34;39,28;7,95;8,25;1,94;10,93
"28/07/2023 23:02:03";0,79;26,33;39,32;7,95;8,25;2,44;10,96
"28/07/2023 23:17:03";0,79;26,31;39,32;7,95;8,25;2,06;10,96
"28/07/2023 23:32:03";0,80;26,32;39,32;7,95;8,25;2,24;10,96
"28/07/2023 23:47:03";0,79;26,31;39,33;7,95;8,25;1,97;10,93
"29/07/2023 00:02:03";0,76;26,30;39,32;7,95;8,25;2,16;10,96
"29/07/2023 00:17:03";0,78;26,31;39,33;7,95;8,25;2,13;10,96
"29/07/2023 00:32:03";0,80;26,30;39,33;7,94;8,26;2,20;10,96
